PropertyValue,Timestamp
True,2018-09-04T16:47:26.4496635Z
True,2018-09-04T16:52:53.1807026Z
True,2018-09-04T16:54:59.4292111Z
True,2018-09-04T17:07:22.6874176Z
True,2018-09-04T17:07:35.2955945Z
True,2018-09-04T17:18:48.7664397Z
True,2018-09-04T17:18:48.7664397Z
True,2018-09-04T17:18:48.7664397Z
True,2018-09-04T17:18:48.9075945Z
True,2018-09-04T17:18:48.9075945Z
True,2018-09-04T17:18:59.5230481Z
True,2018-09-04T17:19:05.0594214Z
True,2018-09-04T17:19:14.8180647Z
True,2018-09-04T17:19:20.3554261Z
True,2018-09-04T17:19:25.7698785Z
True,2018-09-04T17:19:31.4037982Z
True,2018-09-04T17:19:42.4158967Z
True,2018-09-04T17:19:48.0441558Z
True,2018-09-04T17:19:53.5961836Z
True,2018-09-04T17:19:59.0161032Z
True,2018-09-04T17:20:10.2180033Z
True,2018-09-04T17:20:15.5170157Z
True,2018-09-04T17:20:21.2444241Z
True,2018-09-04T17:20:26.5379295Z
True,2018-09-04T17:20:32.5986485Z
True,2018-09-04T17:20:37.7196185Z
True,2018-09-04T17:20:43.4315752Z
True,2018-09-04T17:20:49.1348493Z
True,2018-09-04T17:20:54.6334269Z
True,2018-09-04T17:21:00.6364693Z
True,2018-09-04T17:26:08.7203978Z
True,2018-09-04T17:26:14.3215243Z
True,2018-09-04T17:26:19.6453211Z
True,2018-09-04T17:26:32.2509439Z
True,2018-09-04T17:26:37.5832531Z
True,2018-09-04T17:26:42.9866087Z
True,2018-09-04T17:26:54.3610818Z
True,2018-09-04T17:26:59.7074756Z
True,2018-09-04T17:27:05.1185104Z
True,2018-09-04T17:27:16.3815558Z
True,2018-09-04T17:27:22.0077185Z
True,2018-09-04T17:27:27.4745730Z
True,2018-09-04T17:27:33.3951781Z
True,2018-09-04T17:27:38.8096016Z
True,2018-09-04T17:27:44.2331919Z
True,2018-09-04T17:27:49.5967527Z
True,2018-09-04T17:28:00.7276040Z
True,2018-09-04T17:28:12.1789404Z
True,2018-09-04T17:28:17.6922239Z
True,2018-09-04T17:28:22.9530883Z
True,2018-09-04T17:28:28.5722231Z
True,2018-09-04T17:28:41.9827604Z
True,2018-09-04T17:28:45.4754670Z
True,2018-09-04T17:28:51.6164481Z
True,2018-09-04T17:28:56.3145800Z
True,2018-09-04T17:29:18.5434779Z
True,2018-09-04T17:29:24.1712287Z
True,2018-09-04T17:29:29.6905471Z
True,2018-09-04T17:29:36.1613385Z
True,2018-09-04T17:29:46.4940048Z
True,2018-09-04T17:29:47.5320066Z
True,2018-09-04T17:29:51.9220919Z
True,2018-09-04T17:29:57.3436245Z
True,2018-09-04T17:30:03.3967355Z
True,2018-09-04T17:30:08.7417355Z
True,2018-09-04T17:30:14.4208134Z
True,2018-09-04T17:30:19.9083068Z
True,2018-09-04T17:30:26.1233750Z
True,2018-09-04T17:30:36.7642287Z
True,2018-09-04T17:30:42.3127884Z
True,2018-09-04T17:30:47.6855546Z
True,2018-09-04T17:30:53.1588989Z
True,2018-09-04T17:31:04.4288977Z
True,2018-09-04T17:31:10.3243172Z
True,2018-09-04T17:31:15.7422833Z
True,2018-09-04T17:31:21.2626019Z
True,2018-09-04T17:31:27.0047522Z
True,2018-09-04T17:31:32.5769522Z
True,2018-09-04T17:31:38.0363523Z
True,2018-09-04T17:31:43.9614881Z
True,2018-09-04T17:31:49.2560359Z
True,2018-09-04T17:32:00.5340330Z
True,2018-09-04T17:32:06.4843195Z
True,2018-09-04T17:32:11.8025228Z
True,2018-09-04T17:32:17.7382387Z
True,2018-09-04T17:32:23.1848392Z
True,2018-09-04T17:32:23.7161090Z
True,2018-09-04T17:32:28.8830938Z
True,2018-09-04T17:32:34.5576922Z
True,2018-09-04T17:32:40.1656726Z
True,2018-09-04T17:32:45.6990931Z
True,2018-09-04T17:32:57.0028400Z
True,2018-09-04T17:33:02.5863476Z
True,2018-09-04T17:33:19.2936485Z
True,2018-09-04T17:33:24.9878539Z
True,2018-09-04T17:33:30.3412643Z
True,2018-09-04T17:33:47.0368187Z
True,2018-09-04T17:33:53.1816038Z
True,2018-09-04T17:33:58.1731405Z
True,2018-09-04T17:34:03.8043366Z
False,2018-09-04T17:34:31.8802344Z
False,2018-09-04T17:34:37.4150409Z
False,2018-09-04T17:34:43.0674290Z
False,2018-09-04T17:34:59.9231576Z
False,2018-09-04T17:35:05.4934570Z
False,2018-09-04T17:35:11.0338894Z
True,2018-09-04T17:35:27.6040550Z
True,2018-09-04T17:35:37.3214779Z
True,2018-09-04T17:35:38.4699190Z
True,2018-09-04T17:35:53.6586372Z
True,2018-09-04T17:37:40.9122500Z
True,2018-09-04T17:37:43.6310765Z
True,2018-09-04T17:37:43.6468965Z
True,2018-09-04T17:37:43.6638418Z
True,2018-09-04T17:37:43.6638418Z
True,2018-09-04T17:37:43.6638418Z
True,2018-09-04T17:37:43.6638418Z
True,2018-09-04T17:37:43.6638418Z
True,2018-09-04T17:37:43.6638418Z
True,2018-09-04T17:37:43.6638418Z
True,2018-09-04T17:37:44.0373352Z
True,2018-09-04T17:37:44.0373352Z
True,2018-09-04T17:37:45.0453103Z
True,2018-09-04T17:37:45.0921864Z
True,2018-09-04T17:37:50.2257670Z
True,2018-09-04T17:37:55.7814688Z
True,2018-09-04T17:38:00.6731143Z
True,2018-09-04T17:38:11.0956192Z
True,2018-09-04T17:38:15.9242532Z
True,2018-09-04T17:38:20.7589068Z
True,2018-09-04T17:38:43.3456786Z
False,2018-09-04T17:38:54.2410609Z
False,2018-09-04T17:39:00.0002386Z
False,2018-09-04T17:39:05.6486617Z
False,2018-09-04T17:39:11.5393157Z
False,2018-09-04T17:39:16.7910705Z
False,2018-09-04T17:39:22.4909877Z
False,2018-09-04T17:39:28.0312667Z
False,2018-09-04T17:39:33.6720733Z
False,2018-09-04T17:39:39.3935572Z
False,2018-09-04T17:39:44.6077937Z
False,2018-09-04T17:39:50.3543884Z
False,2018-09-04T17:39:55.7562087Z
False,2018-09-04T17:40:01.7010295Z
False,2018-09-04T17:40:07.0504073Z
False,2018-09-04T17:40:12.8787063Z
False,2018-09-04T17:40:18.3067532Z
False,2018-09-04T17:40:24.2398528Z
True,2018-09-04T17:44:12.5990111Z
True,2018-09-04T17:44:13.7403127Z
True,2018-09-04T17:44:19.2576695Z
True,2018-09-04T17:44:25.0597647Z
True,2018-09-04T17:44:30.5175633Z
True,2018-09-04T17:44:36.2748016Z
True,2018-09-04T17:44:41.7029364Z
True,2018-09-04T17:44:47.4263993Z
True,2018-09-04T17:44:52.9649049Z
False,2018-09-04T17:45:10.0025124Z
False,2018-09-04T17:45:15.4086335Z
False,2018-09-04T17:45:21.1080330Z
False,2018-09-04T17:45:26.5768556Z
False,2018-09-04T17:45:32.2697927Z
False,2018-09-04T17:45:37.8014774Z
False,2018-09-04T17:45:43.2301229Z
False,2018-09-04T17:45:48.8563289Z
False,2018-09-04T17:45:56.0377426Z
False,2018-09-04T17:46:01.0755720Z
False,2018-09-04T17:46:05.5946814Z
False,2018-09-04T17:46:11.1795574Z
False,2018-09-04T17:46:16.7260867Z
False,2018-09-04T17:46:22.2489988Z
False,2018-09-04T17:46:39.2514388Z
False,2018-09-04T17:46:44.7779447Z
False,2018-09-04T17:46:50.5386724Z
False,2018-09-04T17:47:01.5803531Z
False,2018-09-04T17:47:07.2524253Z
True,2018-09-04T17:47:35.1827061Z
True,2018-09-04T17:47:40.6916628Z
True,2018-09-04T17:47:46.3453590Z
True,2018-09-04T17:47:52.6698766Z
True,2018-09-04T17:47:57.6108476Z
True,2018-09-04T17:48:08.5708713Z
True,2018-09-04T17:48:14.1896630Z
True,2018-09-04T17:48:19.7316644Z
True,2018-09-04T17:48:30.9567154Z
True,2018-09-04T17:48:36.4880612Z
True,2018-09-04T17:48:42.1536650Z
True,2018-09-04T17:48:47.7192801Z
True,2018-09-04T17:48:53.3367178Z
True,2018-09-04T17:48:58.8077063Z
False,2018-09-04T17:49:15.7929920Z
False,2018-09-04T17:49:21.2361305Z
False,2018-09-04T17:49:26.9202930Z
False,2018-09-04T17:49:32.4834616Z
False,2018-09-04T17:49:38.0080023Z
False,2018-09-04T17:49:43.5540706Z
False,2018-09-04T17:49:49.0776012Z
False,2018-09-04T17:49:54.7133404Z
False,2018-09-04T17:50:00.3117086Z
False,2018-09-04T17:50:11.5185863Z
False,2018-09-04T17:50:16.9441825Z
False,2018-09-04T17:50:22.3484858Z
False,2018-09-04T17:50:33.2110704Z
True,2018-09-04T17:50:38.6455368Z
True,2018-09-04T17:50:44.2118427Z
True,2018-09-04T17:50:55.1486308Z
True,2018-09-04T17:51:00.6447254Z
True,2018-09-04T17:51:06.0802525Z
True,2018-09-04T17:51:17.2619973Z
True,2018-09-04T17:51:28.2965453Z
True,2018-09-04T17:52:01.2793630Z
True,2018-09-04T17:52:06.6367089Z
True,2018-09-04T17:52:12.1351782Z
True,2018-09-04T17:52:17.5586076Z
False,2018-09-04T17:52:28.8359637Z
False,2018-09-04T17:52:34.1629912Z
False,2018-09-04T17:52:39.5566141Z
False,2018-09-04T17:52:45.0052417Z
False,2018-09-04T17:52:50.4317036Z
False,2018-09-04T17:52:57.2893166Z
False,2018-09-04T17:53:01.4921989Z
False,2018-09-04T17:53:07.0204930Z
False,2018-09-04T17:53:12.4342263Z
False,2018-09-04T17:53:17.9728227Z
False,2018-09-04T17:53:23.6021520Z
False,2018-09-04T17:53:29.1476706Z
False,2018-09-04T17:53:39.9963361Z
True,2018-09-04T17:54:02.1144263Z
True,2018-09-04T17:54:07.3296314Z
True,2018-09-04T17:54:12.7822781Z
True,2018-09-04T17:54:18.1748370Z
True,2018-09-04T17:54:23.6245876Z
True,2018-09-04T17:54:28.9821352Z
True,2018-09-04T17:54:34.5761087Z
True,2018-09-04T17:54:40.2018072Z
True,2018-09-04T17:54:45.8816212Z
True,2018-09-04T17:54:56.7964493Z
True,2018-09-04T17:55:02.2223146Z
True,2018-09-04T17:55:08.1629067Z
True,2018-09-04T17:55:13.3684418Z
True,2018-09-04T17:55:24.2308530Z
True,2018-09-04T17:55:29.6517053Z
True,2018-09-04T17:55:35.2938932Z
True,2018-09-04T17:55:40.7288297Z
True,2018-09-04T17:55:46.1690131Z
True,2018-09-04T17:55:51.5921585Z
False,2018-09-04T17:56:13.6053025Z
False,2018-09-04T17:56:19.1251827Z
False,2018-09-04T17:56:24.6581898Z
False,2018-09-04T17:56:30.3137513Z
False,2018-09-04T17:56:35.8440085Z
False,2018-09-04T17:56:41.4557107Z
False,2018-09-04T17:56:47.0961439Z
False,2018-09-04T17:56:52.7328267Z
False,2018-09-04T17:56:58.3517455Z
False,2018-09-04T17:57:03.8845877Z
True,2018-09-04T17:57:09.4110862Z
True,2018-09-04T17:57:20.7492888Z
True,2018-09-04T17:57:26.1961845Z
True,2018-09-04T17:57:31.8293176Z
True,2018-09-04T17:57:37.6149799Z
True,2018-09-04T17:57:43.0682564Z
True,2018-09-04T17:58:11.0669808Z
True,2018-09-04T17:58:16.4955205Z
True,2018-09-04T17:58:21.9176613Z
True,2018-09-04T17:58:27.4970158Z
True,2018-09-04T17:58:33.0766704Z
True,2018-09-04T17:58:38.4980081Z
True,2018-09-04T17:58:43.8093333Z
False,2018-09-04T17:59:04.3096980Z
False,2018-09-04T17:59:04.4027677Z
False,2018-09-04T17:59:05.8681074Z
False,2018-09-04T17:59:11.4325885Z
False,2018-09-04T17:59:22.5577611Z
False,2018-09-04T17:59:28.4033250Z
False,2018-09-04T17:59:33.8319458Z
False,2018-09-04T17:59:39.6260739Z
False,2018-09-04T17:59:45.0432279Z
False,2018-09-04T18:00:01.2803216Z
False,2018-09-04T18:00:07.1668651Z
False,2018-09-04T18:00:17.8052706Z
False,2018-09-04T18:00:23.1849844Z
False,2018-09-04T18:00:28.6664136Z
False,2018-09-04T18:00:34.3455450Z
False,2018-09-04T18:00:40.6241478Z
False,2018-09-04T18:00:45.6882295Z
True,2018-09-04T18:01:29.3244611Z
True,2018-09-04T18:01:45.9873941Z
True,2018-09-04T18:01:51.7239181Z
True,2018-09-04T18:01:57.2672994Z
True,2018-09-04T18:02:02.6668769Z
True,2018-09-04T18:02:08.1230541Z
True,2018-09-04T18:02:13.9589534Z
True,2018-09-04T18:02:19.2635050Z
True,2018-09-04T18:02:24.7606504Z
True,2018-09-04T18:02:30.3481809Z
True,2018-09-04T18:02:35.5381347Z
True,2018-09-04T18:02:46.4502786Z
True,2018-09-04T18:02:51.8253701Z
True,2018-09-04T18:02:57.2998703Z
True,2018-09-04T18:03:02.6930764Z
True,2018-09-04T18:03:08.3862886Z
True,2018-09-04T18:03:13.9494729Z
True,2018-09-04T18:03:19.3725461Z
True,2018-09-04T18:03:25.0088300Z
False,2018-09-04T18:03:52.5679110Z
False,2018-09-04T18:04:03.5346591Z
False,2018-09-04T18:04:09.0839243Z
False,2018-09-04T18:04:19.7912915Z
False,2018-09-04T18:04:41.9570128Z
True,2018-09-04T18:05:09.2652866Z
True,2018-09-04T18:05:25.9461757Z
